depth ,C,N,pH_H2O,Delta_pH,non_crystal,Fe_h_Fe_d,Al_p,Fe_p,Al_p_Al_h,H_16S,S_16S,H_ITS,S_ITS,id,temp,co2,vwc,depth,Delta_temp
20,7.75,0.515,5.68,-0.85,15168.77956,0.25975845,6476.917513,16766.17014,0.743198241,4.932472302,227,3.826533,195,1,24.24103014,2.465624593,0.367688776,20,1.091030138
40,5.435,0.34,5.38,-0.38,25565.49105,0.362866187,6067.769321,19448.93416,0.410858345,4.534053854,176,3.163687798,124,2,22.36418907,1.5173906,0.36369898,40,-0.785810926
60,2.55,0.14,5.47,-0.06,19161.99917,0.286029575,9083.736929,30287.95598,0.768093211,5.067175763,249,2.713455411,53,3,24.81466466,0.461971139,0.451045918,60,1.664664658
80,2.62,0.145,5.43,0.07,30873.09258,0.467289948,7069.484033,20061.69817,0.37778479,4.682675252,190,3.804874948,179,4,23.33416122,0.347490579,0.436989796,80,0.184161222
100,1.955,0.12,5.36,0.03,27309.4858,0.373526294,9527.895129,27995.1285,0.543414322,3.910064693,88,4.110974867,216,5,22.88367466,0.171294737,0.446790816,100,-0.266325341
20,7.48,0.5,6.63,-0.77,26026.7541,0.367787665,6553.820336,18798.372,0.396388977,4.554003668,166,4.093417672,201,6,21.51534455,0.889789717,0.406076531,20,-1.634655452
40,4.405,0.2,5.55,-0.25,28945.11434,0.342842281,18304.22755,63299.52791,1.079633028,4.152606288,96,3.678089856,139,7,23.23481559,0.382258131,0.437408163,40,0.084815588
60,2.515,0.175,5.48,-0.25,49236.15969,0.824907879,3978.074756,8679.631578,0.134265988,4.066948083,86,3.417849972,94,8,22.76560219,0.181666442,0.451459184,60,-0.384397809
80,1.215,0.07,5.67,-0.13,16549.3163,0.337856902,4686.976969,20757.54139,0.727333894,3.057049419,58,2.513491207,77,9,22.72321275,0.224157657,0.413668367,80,-0.426787246
100,2.875,0.19,5.87,-0.46,63471.02369,1.099416194,4181.768241,9701.532415,0.123768367,4.136477885,100,4.432363824,253,10,23.4364519,0.378020804,0.404377551,100,0.286451901
20,7.885,0.51,5.94,-0.85,8609.876791,0.167423512,9031.380288,44605.48567,2.182434128,4.275416994,96,1.719558609,98,11,24.75782479,3.873260902,0.432760204,20,1.607824792
40,5.185,0.325,5.42,-0.26,32408.27555,0.832507852,9345.875631,35798.42176,0.629623885,3.611238377,54,1.586050389,60,12,23.80586306,2.28712086,0.42469898,40,0.655863062
60,1.56,0.1,5.23,0.08,54912.74849,1.241501547,3786.919863,9302.083865,0.13416771,4.12554646,109,2.00906085,12,13,24.09252868,0.343733037,0.438163265,60,0.942528682
80,1.29,0.07,5.12,0.43,21670.72116,0.451841381,5725.461923,22876.67419,0.615035154,3.994306208,91,4.141520378,198,14,23.90138648,0.201793646,0.435321429,80,0.751386484
100,4.88,0.31,5.37,0.08,30810.02584,0.541496476,2205.681621,6694.532936,0.135433071,3.563191576,78,4.026961296,141,15,22.31849274,0.342342745,0.43944898,100,-0.831507256
20,6.75,0.465,5.55,-0.66,12892.47549,0.351606505,8037.826224,34656.1706,1.41602262,4.801820673,174,3.955581906,196,16,23.40146824,3.306236031,0.43597449,20,0.251468238
40,4.005,0.235,5.64,-0.39,28484.53334,0.466169473,7377.875203,25778.47232,0.496210873,4.488062195,125,3.190410394,141,17,24.75920319,1.497523876,0.437196429,40,1.609203188
60,1.63,0.1,5.05,0.4,39502.19965,0.768024388,3260.966567,7340.355172,0.178811219,4.184144837,132,2.713455411,53,18,24.39004539,0.309149647,0.442709184,60,1.24004539
80,2.59,0.165,5.01,0.12,47541.01123,1.133003475,3467.003516,7669.102985,0.161079581,3.752320018,75.5,3.327505793,137.5,19,25.82273751,0.988157483,0.423346939,80,2.672737506
100,0.485,0.06,5.18,0.25,53149.66891,0.660851803,5925.234901,2747.614759,0.23504915,3.849834731,89,4.22966256,197,20,24.05408367,0.535950881,0.420096939,100,0.904083665
20,6.645,0.445,5.12,-0.49,13476.15179,0.23830777,9424.238223,36614.35161,1.130659767,5.434324484,385,2.837570258,147,21,23.26939699,3.448260511,0.429821429,20,0.119396991
40,4.775,0.3,5.25,-0.17,14176.6936,0.224627256,9445.414313,36305.91761,1.071685972,5.445654796,348,2.388230392,100.5,22,25.91932734,0.928787108,0.440096939,40,2.769327336
